# BLASTN 2.10.0+
# Query: homSap_GADD45A_CCDS640
# Database: nt_v5					
# Fields: subject id, ?
# 160 hits found
gi|1519245296|ref|NM_001924.4| Homo sapiens growth arrest and DNA damage inducible alpha (GADD45A), transcript variant 1, mRNA
gi|1034072358|ref|XM_513476.5| PREDICTED: Pan troglodytes growth arrest and DNA damage inducible alpha (GADD45A), transcript variant X1, mRNA
gi|675694475|ref|XM_003807870.2| PREDICTED: Pan paniscus growth arrest and DNA damage inducible alpha (GADD45A), mRNA
gi|164693196|dbj|AK314991.1| Homo sapiens cDNA, FLJ95917, Homo sapiens growth arrest and DNA-damage-inducible, alpha(GADD45A), mRNA
gi|33877671|gb|BC011757.2| Homo sapiens growth arrest and DNA-damage-inducible, alpha, mRNA (cDNA clone MGC:19584 IMAGE:3530326), complete cds
gi|182939|gb|M60974.1|HUMGADD45 Human growth arrest and DNA-damage-inducible protein (gadd45) mRNA, complete cds
gi|649099551|gb|KJ891036.1| Synthetic construct Homo sapiens clone ccsbBroadEn_00430 GADD45A gene, encodes complete protein
gi|124000096|gb|DQ896558.2| Synthetic construct Homo sapiens clone IMAGE:100011018; FLH195426.01L; RZPDo839C04151D growth arrest and DNA-damage-inducible, alpha (GADD45A) gene, encodes complete protein
gi|123993106|gb|DQ893229.2| Synthetic construct clone IMAGE:100005859; FLH195430.01X; RZPDo839C04152D growth arrest and DNA-damage-inducible, alpha (GADD45A) gene, encodes complete protein
gi|1753027218|ref|XM_004025945.2| PREDICTED: Gorilla gorilla gorilla growth arrest and DNA damage inducible alpha (GADD45A), mRNA
gi|208966393|dbj|AB463698.1| Synthetic construct DNA, clone: pF1KB8372, Homo sapiens GADD45A gene for growth arrest and DNA-damage-inducible, alpha, without stop codon, in Flexi system
gi|117645699|emb|AM393439.1| Synthetic construct Homo sapiens clone IMAGE:100002579 for hypothetical protein (GADD45A gene)
gi|635107394|ref|XM_007978352.1| PREDICTED: Chlorocebus sabaeus growth arrest and DNA-damage-inducible, alpha (GADD45A), mRNA
gi|1743148481|ref|XM_003260166.3| PREDICTED: Nomascus leucogenys growth arrest and DNA damage inducible alpha (GADD45A), mRNA
gi|1381466767|ref|XM_011770509.2| PREDICTED: Macaca nemestrina growth arrest and DNA damage inducible alpha (GADD45A), mRNA
gi|1351350643|ref|XM_002810715.4| PREDICTED: Pongo abelii growth arrest and DNA damage inducible alpha (GADD45A), mRNA
gi|982227453|ref|XM_005543072.2| PREDICTED: Macaca fascicularis growth arrest and DNA damage inducible alpha (GADD45A), mRNA
gi|795380908|ref|XM_012082304.1| PREDICTED: Cercocebus atys growth arrest and DNA-damage-inducible, alpha (GADD45A), mRNA
gi|1777243743|ref|XM_003892033.3| PREDICTED: Papio anubis growth arrest and DNA damage inducible alpha (GADD45A), mRNA
gi|1751204554|ref|XM_010357070.2| PREDICTED: Rhinopithecus roxellana growth arrest and DNA damage inducible alpha (GADD45A), mRNA
gi|795222002|ref|XM_011994990.1| PREDICTED: Mandrillus leucophaeus growth arrest and DNA-damage-inducible, alpha (GADD45A), transcript variant X1, mRNA
gi|795139327|ref|XM_011936878.1| PREDICTED: Colobus angolensis palliatus growth arrest and DNA-damage-inducible, alpha (GADD45A), transcript variant X1, mRNA
gi|386782144|ref|NM_001261305.1| Macaca mulatta growth arrest and DNA damage inducible alpha (GADD45A), mRNA
gi|1411083835|ref|XM_025364922.1| PREDICTED: Theropithecus gelada growth arrest and DNA damage inducible alpha (GADD45A), transcript variant X1, mRNA
gi|1297588754|ref|XM_023209754.1| PREDICTED: Piliocolobus tephrosceles growth arrest and DNA damage inducible alpha (GADD45A), mRNA
gi|1212395024|ref|XM_012442688.2| PREDICTED: Aotus nancymaae growth arrest and DNA damage inducible alpha (GADD45A), mRNA
gi|1059151701|ref|XM_017877148.1| PREDICTED: Rhinopithecus bieti growth arrest and DNA damage inducible alpha (GADD45A), mRNA
gi|1044333806|ref|XM_017532269.1| PREDICTED: Cebus capucinus imitator growth arrest and DNA damage inducible alpha (GADD45A), mRNA
gi|725552655|ref|XM_003921437.2| PREDICTED: Saimiri boliviensis boliviensis growth arrest and DNA-damage-inducible, alpha (GADD45A), mRNA
gi|675670697|ref|XM_002750938.2| PREDICTED: Callithrix jacchus growth arrest and DNA damage inducible alpha (GADD45A), transcript variant X1, mRNA
gi|1149840781|ref|XM_012767243.2| PREDICTED: Microcebus murinus growth arrest and DNA damage inducible alpha (GADD45A), mRNA
gi|826320538|ref|XM_012653783.1| PREDICTED: Propithecus coquereli growth arrest and DNA-damage-inducible, alpha (GADD45A), mRNA
gi|831216456|ref|XM_003784233.2| PREDICTED: Otolemur garnettii growth arrest and DNA damage inducible alpha (GADD45A), mRNA
gi|1676318593|ref|NM_001199741.2| Homo sapiens growth arrest and DNA damage inducible alpha (GADD45A), transcript variant 2, mRNA
gi|1367107209|ref|XM_001164496.6| PREDICTED: Pan troglodytes growth arrest and DNA damage inducible alpha (GADD45A), transcript variant X2, mRNA
gi|62999029|gb|DQ008445.1| Homo sapiens growth arrest and DNA-damage-inducible 45 alpha (GADD45A) mRNA, complete cds, alternatively spliced
gi|795139332|ref|XM_011936879.1| PREDICTED: Colobus angolensis palliatus growth arrest and DNA-damage-inducible, alpha (GADD45A), transcript variant X2, mRNA
gi|1411083837|ref|XM_025364933.1| PREDICTED: Theropithecus gelada growth arrest and DNA damage inducible alpha (GADD45A), transcript variant X2, mRNA
